Nama_Aplikasi,Deskripsi,Link_Drive
LegalDoc AI: Privacy & ToS Generator,"Bangun sebuah aplikasi web sederhana namun profesional yang berfungsi sebagai generator dokumen legal dasar. Pengguna memasukkan nama dan deskripsi layanan mereka, dan aplikasi akan menghasilkan draf ""Kebijakan Privasi"" (Privacy Policy) dan ""Syarat & Ketentuan"" (Terms of Service).",https://ai.studio/apps/drive/1H1sLyHVP8HpViNjx2ALE5vpscoo0oQf4
Email Thread Summarizer,"Bangun sebuah aplikasi web yang berfungsi untuk meringkas utas email yang panjang. Pengguna menempelkan seluruh konten email ke dalam area input, dan aplikasi akan menganalisisnya untuk menghasilkan ringkasan utama dalam 3 poin serta daftar tugas (action items) lengkap dengan penanggung jawabnya dalam format tabel.",https://ai.studio/apps/drive/1L_N_Iyjo-2oG-PswPCk9g0L7VEZ-ICAM
Agenda Kilat: Meeting Agenda Generator,"Bangun sebuah aplikasi web yang sangat efisien untuk membuat agenda rapat terstruktur. Pengguna hanya perlu memasukkan satu kalimat tujuan rapat, waktu mulai, dan durasi, lalu aplikasi akan secara otomatis menghasilkan agenda lengkap dengan alokasi waktu, topik bahasan, dan tujuan untuk setiap sesi.",https://ai.studio/apps/drive/1MLj9Gvy4wbj508GqA7kxCXlTShVc_-LB
Poles Bahasa Pro: Professional Tone Adjuster,"Bangun sebuah aplikasi web yang berfungsi sebagai asisten komunikasi. Pengguna memasukkan draf teks (email, pesan chat, dll.) yang canggung atau terlalu blak-blakan, lalu memilih konteks dan gaya bahasa yang diinginkan. Aplikasi akan menulis ulang teks tersebut menjadi versi yang lebih profesional, persuasif, atau diplomatis.",https://ai.studio/apps/drive/1M42Se-CKy5lrzlkqdui7dMvPFvM9deMk
FAQ Generator Otomatis,"Bangun sebuah aplikasi web yang secara cerdas menghasilkan daftar Pertanyaan yang Sering Diajukan (FAQ) dari sebuah teks deskripsi. Pengguna cukup menempelkan deskripsi produk, layanan, atau proyek, dan aplikasi akan membuat daftar pertanyaan yang relevan beserta jawabannya yang jelas dan ringkas.",https://ai.studio/apps/drive/1TvLo-SWp46OwwU-Rkg_7IpP0G948apEr
Analis Umpan Balik Pelanggan,"Bangun sebuah aplikasi web analitik yang mampu merangkum ratusan ulasan pelanggan. Pengguna menempelkan sekumpulan ulasan, dan aplikasi akan menganalisisnya untuk mengidentifikasi tema-tema utama yang dibicarakan, sentimen keseluruhan (positif, negatif, atau campuran), dan memberikan daftar saran perbaikan yang bisa ditindaklanjuti.",https://ai.studio/apps/drive/11kpgyv407p9fkjN-n_ck1u97nXq3TzwH
Perekrut AI: Penulis Deskripsi Jabatan,"Bangun sebuah aplikasi web yang secara otomatis membuat deskripsi lowongan kerja yang lengkap dan menarik. Pengguna hanya perlu memasukkan nama posisi dan tiga tanggung jawab utama, dan AI akan menyusun sisanya, termasuk ringkasan posisi, kualifikasi yang dibutuhkan, dan apa yang ditawarkan perusahaan.",https://ai.studio/apps/drive/1G-o92K7J-K7A64cF-rFIl5fxzj9SvJx5
VisionCraft AI: Perumus Visi & Misi,"Bangun sebuah aplikasi web strategis yang membantu para pemimpin bisnis merumuskan pernyataan Visi dan Misi yang kuat. Pengguna memasukkan nilai-nilai inti dan tujuan bisnis perusahaan mereka, dan AI akan menyusun draf pernyataan Visi yang inspiratif dan Misi yang ringkas serta dapat ditindaklanjuti.",https://ai.studio/apps/drive/1X1bQ9D7DKDNavJqXsCn1CTP50LHTUdXM
Studi Kasus Pro: Generator Masalah-Solusi-Hasil,"Bangun sebuah aplikasi web yang mengubah data mentah atau poin-poin proyek menjadi sebuah studi kasus (case study) yang naratif dan persuasif. Pengguna memasukkan detail proyek, dan AI akan menyusunnya ke dalam struktur ""Masalah-Solusi-Hasil"" yang terbukti efektif.",https://ai.studio/apps/drive/1mk9nCmn7Kc-wJUjp35RJQYSI0R0OsGsh
Telemarketing Script Pro,"Bangun sebuah aplikasi web yang berfungsi sebagai generator naskah (skrip) telemarketing. Pengguna memasukkan informasi tentang produk, keunggulannya, dan target audiens, lalu AI akan menyusun skrip panggilan penjualan yang lengkap dan efektif, dari kalimat pembuka hingga cara mengatasi penolakan.",https://ai.studio/apps/drive/1HJIZ-5iEDr3v8gKyM6iJlc3FcSAGq5Hx
Proses Efisien AI: Workflow Optimizer,"Bangun sebuah aplikasi web analitik yang berfungsi sebagai konsultan efisiensi proses. Pengguna mendeskripsikan sebuah alur kerja (workflow) yang ada, dan AI akan menganalisisnya untuk mengidentifikasi hambatan dan memberikan saran-saran konkret untuk meningkatkan efisiensi.",https://ai.studio/apps/drive/1nXrSZhwAmpjuV32qCy6WkGxpsw64wxax
Kreator Studio AI: YouTube Video Idea Generator,"Bangun sebuah aplikasi web untuk para kreator YouTube yang dapat menghasilkan 5 konsep video lengkap dari satu topik. Untuk setiap konsep, AI akan memberikan ide judul yang menarik (click-worthy), deskripsi visual untuk thumbnail yang mencolok, dan draf skrip untuk 30 detik pertama video yang dirancang untuk memaksimalkan retensi penonton.",https://ai.studio/apps/drive/1bhbgrwF46bUDceoy5KmMP1-Jp5Tpi1Ab
Riwayat Karakter: Character Backstory Generator,"Bangun sebuah aplikasi web untuk penulis novel, skenario, atau game yang dapat menciptakan latar belakang karakter (backstory) yang kaya dan mendalam. Pengguna memasukkan beberapa sifat dasar, dan AI akan mengembangkannya menjadi profil karakter yang lengkap, termasuk motivasi, ketakutan, dan rahasia terpendam.",https://ai.studio/apps/drive/1EC_XYPfhhlFHl1Ja-Z-d-e8Z9Z8UgjY6
Kerangka Blog SEO: SEO Outline Generator,"Bangun sebuah aplikasi web yang berfungsi sebagai perencana konten SEO. Pengguna memasukkan satu kata kunci utama, dan AI akan menghasilkan kerangka artikel blog yang terstruktur (H1, H2, H3) dan dioptimalkan untuk mesin pencari, lengkap dengan saran sub-topik yang relevan.",https://ai.studio/apps/drive/15UGxwbAMP9K_RrLLhfXVTFCwU9Ti7mWu
Desain Harmoni AI: Generator Palet & Mood,"Bangun sebuah aplikasi web untuk para desainer dan kreator. Pengguna memasukkan sebuah tema atau kata kunci visual, dan AI akan menghasilkan palet warna yang harmonis (lengkap dengan kode HEX) serta deskripsi singkat tentang suasana (mood) yang diciptakan oleh palet tersebut.",https://ai.studio/apps/drive/133TYcKci67hSNOy6aAC_A6h7pEzW3T47
Viral Tweet Crafter,"Bangun sebuah aplikasi web yang berfungsi sebagai generator konten untuk platform X (Twitter). Pengguna memasukkan sebuah ide, topik, atau link artikel, dan AI akan menghasilkan 3 draf tweet atau thread yang dirancang untuk viralitas, lengkap dengan hashtag yang relevan dan call-to-action.",https://ai.studio/apps/drive/1RR6v2LaXbcJyz8wpe8nKdTKPvbmtZJfi
Radio Ad Pro: Penulis Naskah Iklan,"Bangun sebuah aplikasi web yang berfungsi sebagai penulis naskah iklan radio. Pengguna memasukkan deskripsi produk dan memilih durasi, lalu AI akan menyusun skrip iklan yang lengkap, termasuk arahan untuk efek suara (SFX), musik, dan dialog untuk durasi 30 atau 60 detik.",https://ai.studio/apps/drive/12ZRrkSmzo-_JWCnI9hvhxMJk9CC9CHY1
Plot Twist AI: Story Idea Generator,"Bangun sebuah aplikasi web kreatif untuk para penulis. Pengguna memasukkan sinopsis atau ringkasan cerita mereka, dan AI akan memberikan 3 ide plot twist yang tak terduga dan berpotensi mengubah arah narasi secara drastis.",https://ai.studio/apps/drive/1bQWpEnZ6imhxbfSZEikXSjYDzCyi8DWR
Fantasy Name Forge AI,"Bangun sebuah aplikasi web kreatif yang berfungsi sebagai generator nama fantasi. Pengguna memilih kategori (Karakter, Tempat, Artefak) dan memberikan tema opsional, lalu AI akan menciptakan sejumlah nama yang unik, lengkap dengan etimologi fiktif singkat untuk setiap nama.",https://ai.studio/apps/drive/1Rq6v0oF4vJWqSaMsrq6jQlxATIKUjLEg
BioCraft AI: Professional Bio Generator,"Bangun sebuah aplikasi web yang membantu para profesional menulis bio yang menarik untuk profil LinkedIn, portofolio, atau website pribadi. Pengguna memasukkan peran, keahlian, dan pencapaian mereka dalam bentuk poin, dan AI akan menyusunnya menjadi sebuah bio naratif yang singkat dan berdampak.",https://ai.studio/apps/drive/1S9ihsKw8WBUEkaS-lrc2y1-5IiR1jCug
Kritikus Seni AI: Art Curator Analysis,"Bangun sebuah aplikasi web yang berfungsi sebagai kritikus seni virtual. Pengguna memasukkan judul dan deskripsi visual sebuah karya seni (lukisan, patung, dll.), dan AI akan memberikan analisis serta interpretasi mendalam seolah-olah ditulis oleh seorang kurator seni profesional.",https://ai.studio/apps/drive/17s1c0nX0xjYR97ZXwvQf1jYi-rTh5p6s
ELI5 AI: Penjelas Konsep Sederhana,"Bangun sebuah aplikasi web yang dapat menyederhanakan topik yang sangat kompleks. Pengguna memasukkan sebuah subjek yang sulit, dan AI akan menjelaskannya dengan metode ""Explain Like I'm 5"" (ELI5), menggunakan analogi sederhana, bahasa yang mudah, dan tanpa jargon teknis.",https://ai.studio/apps/drive/1a8y2n8WXBL9gq7yQ6G4wRMzZI11qixWe
